Movie Name,Votes,Certification,Gross (USD millions),Star 1,Star 2,Star 3,Star 4,Genre1,Genre2,Genre3,Popularity
Gladiator,1536461,R,187.71,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Action, Adventure, Drama,227
Spider-Man: Into the Spider-Verse,567486,PG,190.24,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Animation, Action, Adventure,86
Avengers: Endgame,1180498,PG-13,858.37,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Action, Adventure, Drama,120
Indiana Jones and the Raiders of the Lost Ark,986580,PG,248.16,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Action, Adventure,,157
Avengers: Infinity War,1123829,PG-13,678.82,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Action, Adventure, Sci-Fi,248
Oldboy (2003),596516,R,0.71,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,Action, Drama, Mystery,314
The Dark Knight Rises,1741947,PG-13,448.14,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Action, Drama, Thriller,429
Aliens,732644,R,85.16,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,Action, Adventure, Sci-Fi,509
Kaithi,36116,Not Rated,,Karthi,Narain,Arjun Das,George Maryan,Action, Adventure, Crime,4804
Asuran,31199,Not Rated,,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,Action, Drama,,
Top Gun: Maverick,590218,PG-13,718.73,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,Action, Drama,,50
Heat,676454,R,67.44,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Action, Crime, Drama,57
Star Wars: Episode VI - Return of the Jedi,1077829,PG,309.13,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Action, Adventure, Fantasy,410
Princess Mononoke,406851,PG-13,2.38,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,Animation, Action, Adventure,1446
North by Northwest,334662,Approved,13.28,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Action, Adventure, Mystery,1801
Kantara,95496,Not Rated,,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,Action, Adventure, Drama,3575
Dangal,197359,Not Rated,12.39,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,Action, Biography, Drama,4102
K.G.F: Chapter 2,139654,Not Rated,6.6,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,Action, Crime, Drama,
Vikram,63852,UA,,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,Action, Crime, Thriller,
Raatchasan,46955,Not Rated,,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan,Action, Crime, Drama,
Shershaah,124801,TV-14,,Sidharth Malhotra,Kiara Advani,Shiv Panditt,Pranay Pachauri,Action, Biography, Drama,
Guardians of the Galaxy Vol. 3,152710,PG-13,,Chris Pratt,Chukwudi Iwuji,Bradley Cooper,Pom Klementieff,Action, Adventure, Comedy,3
Spider-Man: No Way Home,797503,PG-13,804.75,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Action, Adventure, Fantasy,110
Jurassic Park,1014081,PG-13,402.45,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Action, Adventure, Sci-Fi,161
Indiana Jones and the Last Crusade,771308,PG-13,197.17,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,Action, Adventure,,361
1917,621238,R,159.23,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,Action, Drama, War,428
Kill Bill: Vol. 1,1140972,R,70.1,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Action, Crime, Drama,565
Batman Begins,1503550,PG-13,206.85,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,Action, Crime, Drama,571
Die Hard,901445,R,83.01,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,Action, Thriller,,833
V for Vendetta,1140953,R,70.51,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,Action, Drama, Sci-Fi,1127
Demon Slayer the Movie: Mugen Train,64413,R,47.7,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,Animation, Action, Adventure,2043
Ran,129180,R,4.14,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,Action, Drama, War,2733
Gangs of Wasseypur,99365,Not Rated,,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,Action, Comedy, Crime,4011
Vikram Vedha,47686,Not Rated,,Madhavan,Vijay Sethupathi,Shraddha Srinath,Kathir,Action, Crime, Drama,4499
Baahubali 2: The Conclusion,106737,Not Rated,20.19,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,Action, Drama,,4642
Yojimbo,125889,Not Rated,,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,Action, Drama, Thriller,
Uri: The Surgical Strike,67379,Not Rated,4.19,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,Action, Drama, History,
K.G.F: Chapter 1,91613,Not Rated,,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,Action, Crime, Drama,
Sherlock Jr.,52467,Passed,0.98,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,Action, Comedy, Romance,
Rangasthalam 1985,26154,Not Rated,3.51,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu,Action, Drama,,
The Mountain II,109183,135 min,,Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe,Murat Serezli,Action, Drama, War,
Paan Singh Tomar,37046,Not Rated,0.04,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,Action, Biography, Crime,
Mad Max: Fury Road,1030393,R,154.06,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,Action, Adventure, Sci-Fi,135
Ford v Ferrari,419013,PG-13,117.62,Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,Action, Biography, Drama,209
Pirates of the Caribbean: The Curse of the Black Pearl,1153847,PG-13,305.41,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Action, Adventure, Fantasy,321
Blade Runner,788070,R,32.87,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,Action, Drama, Sci-Fi,331
The Terminator,885561,R,38.4,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,Action, Sci-Fi,,449
Logan,787691,R,226.28,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Action, Drama, Sci-Fi,692
"Lock, Stock and Two Smoking Barrels",595335,R,3.9,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Action, Comedy, Crime,894
How to Train Your Dragon,761450,PG,217.58,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson,Animation, Action, Adventure,1192
Warrior,481888,PG-13,13.66,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,Action, Drama, Sport,1210
Rush,491187,R,26.95,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Action, Biography, Drama,1334
The Iron Giant,209169,PG,23.16,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,Animation, Action, Adventure,1839
Neon Genesis Evangelion: The End of Evangelion,58573,TV-MA,,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,Kotono Mitsuishi,Animation, Action, Drama,4622
Sholay,57082,Not Rated,,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,Action, Adventure, Comedy,
Bajrangi Bhaijaan,91940,Not Rated,8.18,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,Action, Adventure, Comedy,
The General,93898,Passed,1.03,Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,Action, Adventure, Comedy,
The Hidden Fortress,40463,Not Rated,,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,Action, Adventure, Drama,
White Heat,34289,Not Rated,,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,Action, Crime, Drama,
A Wednesday,80227,Not Rated,,Anupam Kher,Naseeruddin Shah,Veerendra Saxena,Mahesh Kanual,Action, Crime, Drama,
Major,30471,UA,,Adivi Sesh,Prakash Raj,Revathi,Saiee Manjrekar,Action, Biography, Drama,
Sarfarosh,26232,Not Rated,,Aamir Khan,Naseeruddin Shah,Sonali Bendre,Mukesh Rishi,Action, Drama, Thriller,
Hera Pheri,69430,Not Rated,,Akshay Kumar,Suniel Shetty,Paresh Rawal,Tabu,Action, Comedy, Crime,
Kaththi,28333,Not Rated,,Joseph Vijay,Samantha Ruth Prabhu,Neil Nitin Mukesh,Tota Roy Chowdhury,Action, Drama,,
Thuppakki,35919,Not Rated,,Joseph Vijay,Kajal Aggarwal,Vidyut Jammwal,Sathyan,Action, Thriller,,
John Wick: Chapter 4,185649,R,,Keanu Reeves,Laurence Fishburne,George Georgiou,Lance Reddick,Action, Crime, Thriller,5
Guardians of the Galaxy,1218649,PG-13,333.18,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,Action, Adventure, Comedy,44
Dune (2021),678858,PG-13,108.33,Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac,Action, Adventure, Drama,66
Blade Runner 2049,604032,R,92.05,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,Action, Drama, Mystery,173
Deadpool,1068215,R,363.07,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,Action, Comedy,,326
The Avengers (2012),1416250,PG-13,623.28,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,Action, Sci-Fi,,433
Zack Snyder's Justice League,412841,R,,Henry Cavill,Ben Affleck,Gal Gadot,Amy Adams,Action, Adventure, Fantasy,465
The Incredibles,761657,PG,261.44,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,Animation, Action, Adventure,697
Casino Royale,671026,PG-13,167.45,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,Action, Adventure, Thriller,716
The Revenant,828022,R,183.64,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Action, Adventure, Drama,721
Akira,193691,R,0.55,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,Animation, Action, Drama,873
Kill Bill: Vol. 2,774112,R,66.21,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,Action, Crime, Thriller,1753
Ip Man,228443,R,,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka-Tung Lam,Action, Biography, Drama,2109
The Bourne Ultimatum,644196,PG-13,227.47,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,Action, Mystery, Thriller,2468
Baahubali: The Beginning,129989,Not Rated,6.74,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,Action, Drama,,2744
Infernal Affairs,127667,R,0.17,Andy Lau,Tony Leung Chiu-wai,Anthony Chau-Sang Wong,Eric Tsang,Action, Crime, Drama,4437
Wolfwalkers,35173,PG,,Honor Kneafsey,Eva Whittaker,Sean Bean,Simon McBurney,Animation, Action, Adventure,4643
Elite Squad,106741,R,0.01,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,Action, Crime, Drama,
Haider,56091,Not Rated,0.9,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon,Action, Crime, Drama,
Sanjuro,39443,Not Rated,,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,Action, Drama, Thriller,
Elite Squad 2: The Enemy Within,84736,Not Rated,0.1,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,Action, Crime, Drama,
Tae Guk Gi: The Brotherhood of War,40371,R,1.11,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,Action, Drama, War,
Andaz Apna Apna,54211,Not Rated,,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,Action, Comedy, Romance,
Karthikeya 2,63228,UA,,Nikhil Siddharth,Anupama Parameswaran,Srinivasa Reddy,Harsha Chemudu,Action, Adventure, Fantasy,
Arjun Reddy,26291,Not Rated,,Vijay Deverakonda,Shalini Pandey,Jia Sharma,Kanchana,Action, Drama, Romance,
1: Nenokkadine,45895,Not Rated,,Mahesh Babu,Kriti Sanon,Nassar,Pradeep Singh Rawat,Action, Thriller,,
The Breath,34390,128 min,,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,Özgür Eren Koç,Action, Drama, Thriller,
Thor: Ragnarok,776360,PG-13,315.06,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo,Action, Adventure, Comedy,167
Avatar,1342333,PG-13,760.51,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,Action, Adventure, Fantasy,275
Iron Man,1082657,PG-13,318.41,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,Action, Adventure, Sci-Fi,456
Star Trek,610397,PG-13,257.73,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,Action, Adventure, Sci-Fi,500
Edge of Tomorrow,699377,PG-13,100.21,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,Action, Adventure, Sci-Fi,685
Children of Men,511701,R,35.55,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,Action, Drama, Sci-Fi,1226
X-Men: Days of Future Past,725129,PG-13,233.92,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy,Action, Adventure, Sci-Fi,1308
District 9,695079,R,115.65,Sharlto Copley,David James,Jason Cope,Nathalie Boltt,Action, Sci-Fi, Thriller,1387
The Bourne Identity,558880,PG-13,121.66,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,Action, Mystery, Thriller,1433
The Blues Brothers,205899,R,57.23,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,Action, Adventure, Comedy,1464
"Crouching Tiger, Hidden Dragon",275685,PG-13,128.08,Chow Yun-Fat,Michelle Yeoh,Ziyi Zhang,Chang Chen,Action, Adventure, Drama,1927
Ghost in the Shell (1995),148520,TV-MA,0.52,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,Animation, Action, Crime,2503
A Fistful of Dollars,223452,R,14.5,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,Action, Drama, Western,2804
The Raid 2,127144,R,2.63,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,Action, Crime, Thriller,3255
The Wild Bunch,87423,R,12.06,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,Action, Adventure, Drama,3342
Hero,184444,PG-13,53.71,Jet Li,Tony Leung Chiu-wai,Maggie Cheung,Ziyi Zhang,Action, Adventure, Drama,3533
Letters from Iwo Jima,166287,R,13.76,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,Action, Adventure, Drama,3949
A Taxi Driver,27426,Not Rated,1.53,Song Kang-ho,Thomas Kretschmann,Hae-Jin Yoo,Ryu Jun-Yeol,Action, Drama, History,
The Adventures of Robin Hood,52825,PG,3.98,Errol Flynn,Olivia de Havilland,Basil Rathbone,Claude Rains,Action, Adventure, Romance,
Baby,58817,Not Rated,,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,Action, Crime, Thriller,
Airlift,57851,Not Rated,,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,Action, Drama, History,
Vishwaroopam,40553,Not Rated,,Pooja Kumar,Miles Anderson,Kamal Haasan,Rahul Bose,Action, Thriller,,
Everything Everywhere All at Once,449363,R,72.86,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan,Action, Adventure, Comedy,56
The Batman,700482,PG-13,369.35,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell,Action, Crime, Drama,104
RRR,150400,Not Rated,14.5,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Alia Bhatt,Action, Drama,,144
The Gentlemen,360681,R,36.47,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,Action, Comedy, Crime,221
All Quiet on the Western Front,205861,R,,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,Action, Drama, War,224
Drive,664696,R,35.06,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,Action, Drama,,369
Rogue One: A Star Wars Story,657989,PG-13,532.18,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,Action, Adventure, Sci-Fi,390
Star Wars: Episode VII - The Force Awakens,947513,PG-13,936.66,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,Action, Adventure, Sci-Fi,455
Apocalypto,320194,R,50.87,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,Action, Adventure, Drama,524
Dunkirk,682580,PG-13,188.37,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,Action, Drama, History,595
Ghostbusters (1984),425802,PG,238.63,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Action, Comedy, Fantasy,712
Predator,434555,R,59.74,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,Action, Adventure, Horror,935
Hot Fuzz,517237,R,23.64,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,Action, Comedy, Mystery,964
Captain America: Civil War,811942,PG-13,408.08,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Action, Sci-Fi,,991
Taken,614833,PG-13,145,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,Action, Crime, Thriller,1018
Skyfall,709889,PG-13,304.36,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,Action, Adventure, Thriller,1073
Captain America: The Winter Soldier,866900,PG-13,259.77,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,Action, Adventure, Sci-Fi,1160
The Fugitive,304679,PG-13,183.88,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,Action, Crime, Drama,1284
Big Hero 6,476733,PG,222.53,Ryan Potter,Scott Adsit,Jamie Chung,T.J. Miller,Animation, Action, Adventure,1351
Captain Phillips,473417,PG-13,107.1,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,Action, Biography, Crime,1454
I Saw the Devil,137172,Not Rated,0.13,Lee Byung-hun,Choi Min-sik,Jeon Gook-hwan,Ho-jin Chun,Action, Crime, Drama,1462
The Last Samurai,452194,R,111.11,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,Action, Drama,,1526
Serenity,300323,PG-13,25.51,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,Action, Adventure, Sci-Fi,1686
Thirteen Lives,60709,PG-13,,Viggo Mortensen,Colin Farrell,Joel Edgerton,Tom Bateman,Action, Adventure, Biography,1869
The Fighter,377066,R,93.62,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,Action, Biography, Drama,1870
How to Train Your Dragon 2,347680,PG,177,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,Animation, Action, Adventure,2936
The Chaser,69205,Not Rated,,Kim Yoon-seok,Ha Jung-woo,Yeong-hie Seo,Kim Yoo-jeong,Action, Crime, Drama,
"Aguirre, the Wrath of God",59132,Not Rated,,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,Action, Adventure, Biography,
Ninja Scroll,38878,Not Rated,,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,Animation, Action, Adventure,
Batman: Mask of the Phantasm,53525,PG,5.62,Kevin Conroy,Dana Delany,Hart Bochner,Stacy Keach,Animation, Action, Adventure,
The Killer,49593,R,,Chow Yun-Fat,Danny Lee,Sally Yeh,Kong Chu,Action, Crime, Drama,
Cowboy Bebop: The Movie,50675,TV-14,1,Beau Billingslea,Melissa Fahn,Nicholas Guest,Kôichi Yamadera,Animation, Action, Crime,
Knockin' on Heaven's Door,32091,Not Rated,0,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,Action, Crime, Comedy,
Minnal Murali,31091,TV-14,,Tovino Thomas,Guru Somasundaram,Aju Varghese,Baiju,Action, Comedy, Drama,
Avatar: The Way of Water,386589,PG-13,659.68,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Action, Adventure, Fantasy,48
Kingsman: The Secret Service,686711,R,128.26,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,Action, Adventure, Comedy,189
Star Trek Into Darkness,489393,PG-13,228.78,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,Action, Adventure, Sci-Fi,284
Mission: Impossible - Fallout,345045,PG-13,220.16,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,Action, Adventure, Thriller,302
Black Hawk Down,407357,R,108.64,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana,Action, Drama, History,371
The Count of Monte Cristo,142710,PG-13,54.23,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,Action, Adventure, Drama,824
3:10 to Yuma,320341,R,53.61,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,Action, Crime, Drama,837
The Last of the Mohicans,177622,R,75.51,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,Action, Adventure, Drama,932
The Lego Movie,369332,PG,257.76,Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett,Animation, Action, Adventure,1095
X-Men: First Class,704920,PG-13,146.41,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,Action, Sci-Fi,,1181
Training Day,450326,R,76.63,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,Action, Crime, Drama,1191
The Dirty Dozen,76116,Approved,45.3,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes,Action, Adventure, War,1274
Man on Fire,372080,R,77.91,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,Action, Crime, Drama,1481
First Blood,262358,R,47.21,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,Action, Adventure, Thriller,1693
The Magnificent Seven (1960),98284,Approved,4.91,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach,Action, Adventure, Drama,1747
Kung Fu Hustle,144540,R,17.11,Stephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung,Action, Comedy, Fantasy,1880
The Boondock Saints,243467,R,0.03,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,Action, Thriller,,1986
Goldfinger,195712,PG,51.08,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,Action, Adventure, Thriller,2065
The Longest Day,57444,G,39.1,John Wayne,Robert Ryan,Richard Burton,Henry Fonda,Action, Drama, History,2201
Dirty Harry,161780,R,35.9,Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni,Action, Crime, Thriller,2427
Star Trek II: The Wrath of Khan,125236,PG,78.91,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,Action, Adventure, Sci-Fi,2457
The Bourne Supremacy,473619,PG-13,176.24,Matt Damon,Franka Potente,Joan Allen,Brian Cox,Action, Mystery, Thriller,2465
Bonnie and Clyde,116508,R,,Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman,Action, Biography, Crime,2837
The French Connection,127642,R,15.63,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,Action, Crime, Drama,2923
Badlands,75326,PG,,Martin Sheen,Sissy Spacek,Warren Oates,Ramon Bieri,Action, Crime, Drama,3710
Run Lola Run,202368,R,7.27,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri,Action, Crime, Thriller,4469
Kubo and the Two Strings,133672,PG,48.02,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,Animation, Action, Adventure,4721
Ponniyin Selvan: Part I,33676,Not Rated,,Vikram,Aishwarya Rai Bachchan,Jayam Ravi,Karthi,Action, Adventure, Drama,4918
Key Largo,42564,Not Rated,,Humphrey Bogart,Edward G. Robinson,Lauren Bacall,Lionel Barrymore,Action, Crime, Drama,
The Man from Nowhere,71978,R,0.01,Won Bin,Kim Sae-ron,Kim Tae-hoon,Kim Hee-won,Action, Crime, Drama,
Hard Boiled,52135,R,,Chow Yun-Fat,Tony Leung Chiu-wai,Teresa Mo,Philip Chan,Action, Crime, Thriller,
Scarface,29095,PG,,Paul Muni,Ann Dvorak,Karen Morley,Osgood Perkins,Action, Crime, Drama,
Dragon Ball Super: Broly,29459,PG,30.71,Masako Nozawa,Aya Hisakawa,Ryô Horikawa,Toshio Furukawa,Animation, Action, Adventure,
Joint Security Area,32200,Not Rated,,Lee Yeong-ae,Lee Byung-hun,Song Kang-ho,Kim Tae-woo,Action, Drama, Thriller,
Eega,25953,Not Rated,,Sudeep,Nani,Samantha Ruth Prabhu,Hamsa Nandini,Action, Comedy, Drama,
Udta Punjab,31402,Not Rated,,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,Action, Crime, Drama,
Raazi,32284,Not Rated,,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,Action, Drama, Thriller,
